CódigoVenda;Quantidade;Produto;Valor Unitário;Valor Final
66033;1;Bermuda Estampa;R$ 169,00;R$ 169,00
66034;2;Calça Linho;R$ 211,00;R$ 422,00
66034;3;Camisa Estampa;R$ 113,00;R$ 339,00
66034;4;Relógio;R$ 200,00;R$ 800,00
66034;2;Sapato;R$ 350,00;R$ 700,00
66034;1;Camisa Estampa;R$ 113,00;R$ 113,00
66035;2;Gorro Linho;R$ 124,00;R$ 248,00
66035;1;Sunga Xadrez;R$ 116,00;R$ 116,00
66036;1;Mochila Linho;R$ 311,00;R$ 311,00
66036;1;Calça Estampa;R$ 177,00;R$ 177,00
66040;2;Meia Linho;R$ 78,00;R$ 156,00
66040;1;Chinelo;R$ 60,00;R$ 60,00
66040;3;Pulseira Estampa;R$ 87,00;R$ 261,00
66041;2;Short;R$ 90,00;R$ 180,00
66041;1;Polo;R$ 130,00;R$ 130,00
66042;3;Cueca;R$ 50,00;R$ 150,00
66043;1;Polo;R$ 130,00;R$ 130,00
66044;2;Gorro;R$ 80,00;R$ 160,00
66045;1;Mochila Liso;R$ 276,00;R$ 276,00
66045;1;Sapato Linho;R$ 391,00;R$ 391,00
66045;2;Camisa Estampa;R$ 113,00;R$ 226,00
66046;2;Chinelo;R$ 60,00;R$ 120,00
66046;3;Camisa;R$ 100,00;R$ 300,00
66046;3;Gorro Listrado;R$ 97,00;R$ 291,00
66047;2;Sunga Listrado;R$ 114,00;R$ 228,00
66048;2;Terno;R$ 700,00;R$ 1.400,00
66048;1;Cinto Liso;R$ 209,00;R$ 209,00
66049;5;Cinto Listrado;R$ 214,00;R$ 1.070,00
66049;1;Camisa Gola V Liso;R$ 118,00;R$ 118,00
66050;2;Terno Listrado;R$ 709,00;R$ 1.418,00
66050;3;Short Xadrez;R$ 100,00;R$ 300,00
66051;2;Sunga Liso;R$ 114,00;R$ 228,00
66052;1;Mochila Xadrez;R$ 283,00;R$ 283,00
66052;4;Calça Xadrez;R$ 185,00;R$ 740,00
66052;2;Cueca Xadrez;R$ 60,00;R$ 120,00
66052;1;Gorro Estampa;R$ 93,00;R$ 93,00
66053;2;Mochila Linho;R$ 311,00;R$ 622,00
66053;1;Calça Linho;R$ 211,00;R$ 211,00
66054;1;Sapato Liso;R$ 368,00;R$ 368,00
66054;1;Camisa Gola V;R$ 100,00;R$ 100,00
66054;1;Tênis Listrado;R$ 262,00;R$ 262,00
66054;2;Bermuda;R$ 150,00;R$ 300,00
66055;2;Pulseira Linho;R$ 114,00;R$ 228,00
66055;2;Camisa Estampa;R$ 113,00;R$ 226,00
66056;1;Terno Linho;R$ 750,00;R$ 750,00
66057;3;Mochila Linho;R$ 311,00;R$ 933,00
66057;3;Meia Listrado;R$ 37,00;R$ 111,00
66057;1;Meia Liso;R$ 38,00;R$ 38,00
66058;2;Camiseta Estampa;R$ 196,00;R$ 392,00
66059;2;Cueca Linho;R$ 93,00;R$ 186,00
66059;3;Sapato Xadrez;R$ 368,00;R$ 1.104,00
66061;2;Sunga Estampa;R$ 120,00;R$ 240,00
66061;3;Bermuda Liso;R$ 157,00;R$ 471,00
66062;1;Mochila Xadrez;R$ 283,00;R$ 283,00
66062;1;Camiseta Listrado;R$ 197,00;R$ 197,00
66062;1;Camiseta Liso;R$ 187,00;R$ 187,00
66064;1;Relógio;R$ 200,00;R$ 200,00
66064;3;Relógio Liso;R$ 216,00;R$ 648,00
66064;2;Camisa Gola V Linho;R$ 145,00;R$ 290,00
66065;1;Mochila Listrado;R$ 275,00;R$ 275,00
66065;1;Calça Liso;R$ 190,00;R$ 190,00
66066;2;Sapato Listrado;R$ 363,00;R$ 726,00
66066;3;Camisa Gola V Liso;R$ 118,00;R$ 354,00
66067;5;Pulseira Listrado;R$ 79,00;R$ 395,00
66068;3;Polo Estampa;R$ 138,00;R$ 414,00
66068;1;Chinelo Linho;R$ 105,00;R$ 105,00
66068;1;Camiseta Estampa;R$ 196,00;R$ 196,00
66068;1;Mochila Liso;R$ 276,00;R$ 276,00
66069;1;Tênis Estampa;R$ 256,00;R$ 256,00
66069;2;Cueca Xadrez;R$ 60,00;R$ 120,00
66070;5;Sunga Linho;R$ 149,00;R$ 745,00
66070;3;Camiseta Estampa;R$ 196,00;R$ 588,00
66070;2;Mochila Xadrez;R$ 283,00;R$ 566,00
66071;1;Casaco Linho;R$ 299,00;R$ 299,00
66071;3;Short Linho;R$ 133,00;R$ 399,00
66071;4;Mochila Estampa;R$ 277,00;R$ 1.108,00
66071;3;Gorro Liso;R$ 92,00;R$ 276,00
66072;2;Polo Liso;R$ 137,00;R$ 274,00
66074;1;Calça Listrado;R$ 181,00;R$ 181,00
66075;1;Gorro Linho;R$ 124,00;R$ 124,00
66079;1;Short Linho;R$ 133,00;R$ 133,00
66079;3;Pulseira Liso;R$ 87,00;R$ 261,00
66079;1;Bermuda Liso;R$ 157,00;R$ 157,00
66079;2;Relógio Xadrez;R$ 214,00;R$ 428,00
66080;1;Mochila Estampa;R$ 277,00;R$ 277,00
66080;2;Camiseta Xadrez;R$ 200,00;R$ 400,00
66080;1;Tênis Estampa;R$ 256,00;R$ 256,00
66081;3;Short;R$ 90,00;R$ 270,00
66082;2;Terno Estampa;R$ 706,00;R$ 1.412,00
66083;3;Casaco;R$ 250,00;R$ 750,00
66083;1;Mochila Listrado;R$ 275,00;R$ 275,00
66085;5;Camisa Listrado;R$ 108,00;R$ 540,00
66086;1;Camisa Xadrez;R$ 105,00;R$ 105,00
66086;3;Cueca Listrado;R$ 67,00;R$ 201,00
66087;1;Calça Estampa;R$ 177,00;R$ 177,00
66088;1;Terno Xadrez;R$ 709,00;R$ 709,00
66088;1;Bermuda Listrado;R$ 163,00;R$ 163,00
66088;3;Cinto Estampa;R$ 209,00;R$ 627,00
66088;1;Sapato Listrado;R$ 363,00;R$ 363,00
66089;2;Casaco Liso;R$ 255,00;R$ 510,00
66089;2;Short Linho;R$ 133,00;R$ 266,00
66090;4;Calça Listrado;R$ 181,00;R$ 724,00
66090;3;Calça Estampa;R$ 177,00;R$ 531,00
66090;1;Tênis Estampa;R$ 256,00;R$ 256,00
66092;4;Camiseta Listrado;R$ 197,00;R$ 788,00
66092;1;Gorro Liso;R$ 92,00;R$ 92,00
66095;1;Short Listrado;R$ 102,00;R$ 102,00
66095;2;Polo Xadrez;R$ 142,00;R$ 284,00
66095;2;Terno;R$ 700,00;R$ 1.400,00
66095;2;Relógio Xadrez;R$ 214,00;R$ 428,00
66098;2;Sapato Xadrez;R$ 368,00;R$ 736,00
66098;4;Camisa Gola V;R$ 100,00;R$ 400,00
66099;3;Terno Liso;R$ 720,00;R$ 2.160,00
66100;1;Chinelo Listrado;R$ 73,00;R$ 73,00
66101;1;Casaco Liso;R$ 255,00;R$ 255,00
66102;4;Sapato Liso;R$ 368,00;R$ 1.472,00
66102;1;Bermuda Liso;R$ 157,00;R$ 157,00
66103;1;Polo;R$ 130,00;R$ 130,00
66103;4;Cueca Liso;R$ 69,00;R$ 276,00
66104;2;Cueca Listrado;R$ 67,00;R$ 134,00
66105;4;Camisa Liso;R$ 105,00;R$ 420,00
66105;1;Pulseira Linho;R$ 114,00;R$ 114,00
66105;1;Cueca Liso;R$ 69,00;R$ 69,00
66106;3;Camisa Gola V Estampa;R$ 118,00;R$ 354,00
66107;2;Polo Liso;R$ 137,00;R$ 274,00
66107;3;Pulseira Listrado;R$ 79,00;R$ 237,00
66107;1;Camisa Linho;R$ 141,00;R$ 141,00
66108;3;Casaco Xadrez;R$ 259,00;R$ 777,00
66110;1;Gorro Linho;R$ 124,00;R$ 124,00
66110;2;Tênis Xadrez;R$ 259,00;R$ 518,00
66110;3;Sunga;R$ 100,00;R$ 300,00
66111;3;Cinto Linho;R$ 248,00;R$ 744,00
66112;1;Meia Liso;R$ 38,00;R$ 38,00
66115;1;Chinelo Xadrez;R$ 66,00;R$ 66,00
66116;1;Gorro Linho;R$ 124,00;R$ 124,00
66116;1;Sapato Xadrez;R$ 368,00;R$ 368,00
66116;1;Polo Xadrez;R$ 142,00;R$ 142,00
66117;1;Camisa Linho;R$ 141,00;R$ 141,00
66117;2;Sapato Liso;R$ 368,00;R$ 736,00
66117;4;Chinelo Estampa;R$ 74,00;R$ 296,00
66118;1;Casaco;R$ 250,00;R$ 250,00
66118;3;Polo Listrado;R$ 149,00;R$ 447,00
66119;2;Gorro Liso;R$ 92,00;R$ 184,00
66119;1;Short Linho;R$ 133,00;R$ 133,00
66119;2;Meia Estampa;R$ 50,00;R$ 100,00
66120;5;Pulseira Linho;R$ 114,00;R$ 570,00
66120;1;Chinelo Xadrez;R$ 66,00;R$ 66,00
66121;5;Bermuda Estampa;R$ 169,00;R$ 845,00
66121;1;Gorro Listrado;R$ 97,00;R$ 97,00
66123;4;Meia Xadrez;R$ 41,00;R$ 164,00
66124;1;Casaco Xadrez;R$ 259,00;R$ 259,00
66125;3;Camisa Estampa;R$ 113,00;R$ 339,00
66126;1;Camisa Xadrez;R$ 105,00;R$ 105,00
66126;1;Cinto Liso;R$ 209,00;R$ 209,00
66127;5;Tênis Estampa;R$ 256,00;R$ 1.280,00
66130;1;Camisa Gola V;R$ 100,00;R$ 100,00
66130;2;Relógio Linho;R$ 240,00;R$ 480,00
66132;1;Camisa Gola V Liso;R$ 118,00;R$ 118,00
66133;1;Relógio Estampa;R$ 219,00;R$ 219,00
66134;3;Pulseira Xadrez;R$ 87,00;R$ 261,00
66134;5;Meia;R$ 30,00;R$ 150,00
66134;2;Bermuda Listrado;R$ 163,00;R$ 326,00
66134;2;Short Xadrez;R$ 100,00;R$ 200,00
66135;2;Camisa Liso;R$ 105,00;R$ 210,00
66135;2;Camisa Gola V Listrado;R$ 116,00;R$ 232,00
66137;2;Camiseta Xadrez;R$ 200,00;R$ 400,00
66138;3;Tênis Linho;R$ 294,00;R$ 882,00
66139;3;Mochila Linho;R$ 311,00;R$ 933,00
66140;1;Bermuda Listrado;R$ 163,00;R$ 163,00
66141;1;Sunga Xadrez;R$ 116,00;R$ 116,00
66141;1;Pulseira;R$ 70,00;R$ 70,00
66141;1;Pulseira Listrado;R$ 79,00;R$ 79,00
66142;2;Casaco Listrado;R$ 269,00;R$ 538,00
66142;3;Pulseira Liso;R$ 87,00;R$ 261,00
66142;3;Relógio Listrado;R$ 218,00;R$ 654,00
66144;3;Camisa Linho;R$ 141,00;R$ 423,00
66144;1;Chinelo Linho;R$ 105,00;R$ 105,00
66145;5;Cueca Estampa;R$ 66,00;R$ 330,00
66146;2;Relógio Liso;R$ 216,00;R$ 432,00
66146;1;Short;R$ 90,00;R$ 90,00
66148;1;Camiseta Listrado;R$ 197,00;R$ 197,00
66150;2;Calça Estampa;R$ 177,00;R$ 354,00
66150;2;Relógio Listrado;R$ 218,00;R$ 436,00
66151;2;Polo Estampa;R$ 138,00;R$ 276,00
66151;1;Calça Estampa;R$ 177,00;R$ 177,00
66151;4;Meia Xadrez;R$ 41,00;R$ 164,00
66151;2;Calça Xadrez;R$ 185,00;R$ 370,00
66152;1;Short Listrado;R$ 102,00;R$ 102,00
66153;2;Pulseira Liso;R$ 87,00;R$ 174,00
66153;1;Polo Liso;R$ 137,00;R$ 137,00
66153;1;Camiseta;R$ 180,00;R$ 180,00
66154;1;Mochila Xadrez;R$ 283,00;R$ 283,00
66154;1;Terno Estampa;R$ 706,00;R$ 706,00
66154;1;Casaco;R$ 250,00;R$ 250,00
66154;1;Camisa Gola V Listrado;R$ 116,00;R$ 116,00
66155;1;Camisa Linho;R$ 141,00;R$ 141,00
66156;2;Short;R$ 90,00;R$ 180,00
66156;2;Meia Xadrez;R$ 41,00;R$ 82,00
66156;2;Chinelo Linho;R$ 105,00;R$ 210,00
66157;5;Cueca;R$ 50,00;R$ 250,00
66158;1;Calça Linho;R$ 211,00;R$ 211,00
66158;2;Calça Liso;R$ 190,00;R$ 380,00
66159;3;Cueca Listrado;R$ 67,00;R$ 201,00
66160;1;Relógio Linho;R$ 240,00;R$ 240,00
66160;1;Cueca Xadrez;R$ 60,00;R$ 60,00
66160;2;Terno Liso;R$ 720,00;R$ 1.440,00
66160;1;Cinto Xadrez;R$ 215,00;R$ 215,00
66160;4;Meia Liso;R$ 38,00;R$ 152,00
66161;2;Bermuda Liso;R$ 157,00;R$ 314,00
66161;1;Tênis Listrado;R$ 262,00;R$ 262,00
66162;2;Camisa Gola V;R$ 100,00;R$ 200,00
66162;1;Camiseta Xadrez;R$ 200,00;R$ 200,00
66162;2;Cueca Estampa;R$ 66,00;R$ 132,00
66166;2;Camisa Gola V Listrado;R$ 116,00;R$ 232,00
66166;5;Terno Listrado;R$ 709,00;R$ 3.545,00
66166;2;Camiseta Estampa;R$ 196,00;R$ 392,00
66166;1;Relógio Listrado;R$ 218,00;R$ 218,00
66168;1;Pulseira Xadrez;R$ 87,00;R$ 87,00
66168;4;Camiseta Estampa;R$ 196,00;R$ 784,00
66168;1;Gorro Estampa;R$ 93,00;R$ 93,00
66169;1;Calça Linho;R$ 211,00;R$ 211,00
66170;1;Gorro Estampa;R$ 93,00;R$ 93,00
66174;1;Cinto Liso;R$ 209,00;R$ 209,00
66174;1;Pulseira Listrado;R$ 79,00;R$ 79,00
66174;3;Short Estampa;R$ 96,00;R$ 288,00
66175;1;Tênis Liso;R$ 266,00;R$ 266,00
66176;2;Terno Linho;R$ 750,00;R$ 1.500,00
66177;1;Chinelo Liso;R$ 71,00;R$ 71,00
66177;1;Sunga;R$ 100,00;R$ 100,00
66177;2;Casaco;R$ 250,00;R$ 500,00
66178;2;Chinelo Liso;R$ 71,00;R$ 142,00
66178;1;Calça Listrado;R$ 181,00;R$ 181,00
66178;1;Polo Linho;R$ 176,00;R$ 176,00
66179;1;Camiseta Estampa;R$ 196,00;R$ 196,00
66180;2;Sunga Liso;R$ 114,00;R$ 228,00
66181;2;Polo Liso;R$ 137,00;R$ 274,00
66181;1;Polo Liso;R$ 137,00;R$ 137,00
66182;1;Cinto Listrado;R$ 214,00;R$ 214,00
66183;1;Meia Listrado;R$ 37,00;R$ 37,00
66183;3;Camisa Linho;R$ 141,00;R$ 423,00
66184;3;Mochila Estampa;R$ 277,00;R$ 831,00
66185;1;Mochila Linho;R$ 311,00;R$ 311,00
66185;1;Camiseta;R$ 180,00;R$ 180,00
66185;2;Polo;R$ 130,00;R$ 260,00
66185;2;Casaco Estampa;R$ 256,00;R$ 512,00
66186;1;Chinelo Xadrez;R$ 66,00;R$ 66,00
66186;5;Meia Xadrez;R$ 41,00;R$ 205,00
66186;1;Pulseira Liso;R$ 87,00;R$ 87,00
66187;5;Chinelo;R$ 60,00;R$ 300,00
66188;1;Bermuda Linho;R$ 195,00;R$ 195,00
66189;5;Short Listrado;R$ 102,00;R$ 510,00
66189;1;Polo Xadrez;R$ 142,00;R$ 142,00
66190;4;Terno;R$ 700,00;R$ 2.800,00
66191;1;Short Linho;R$ 133,00;R$ 133,00
66192;1;Gorro Xadrez;R$ 85,00;R$ 85,00
66192;3;Gorro Listrado;R$ 97,00;R$ 291,00
66192;3;Polo Listrado;R$ 149,00;R$ 447,00
66193;2;Sunga Xadrez;R$ 116,00;R$ 232,00
66194;1;Pulseira Estampa;R$ 87,00;R$ 87,00
66195;1;Casaco Estampa;R$ 256,00;R$ 256,00
66195;2;Relógio Xadrez;R$ 214,00;R$ 428,00
66195;1;Gorro Listrado;R$ 97,00;R$ 97,00
66196;3;Camisa Gola V Liso;R$ 118,00;R$ 354,00
66197;4;Polo Estampa;R$ 138,00;R$ 552,00
66197;1;Relógio Liso;R$ 216,00;R$ 216,00
66197;2;Short Listrado;R$ 102,00;R$ 204,00
66197;2;Mochila Liso;R$ 276,00;R$ 552,00
66198;1;Mochila Liso;R$ 276,00;R$ 276,00
66198;4;Casaco Estampa;R$ 256,00;R$ 1.024,00
66201;2;Camisa;R$ 100,00;R$ 200,00
66201;1;Pulseira Listrado;R$ 79,00;R$ 79,00
66202;2;Chinelo Liso;R$ 71,00;R$ 142,00
66203;1;Pulseira Estampa;R$ 87,00;R$ 87,00
66204;5;Camiseta Liso;R$ 187,00;R$ 935,00
66205;1;Polo Listrado;R$ 149,00;R$ 149,00
66206;1;Camisa;R$ 100,00;R$ 100,00
66207;1;Mochila Linho;R$ 311,00;R$ 311,00
66209;1;Bermuda Xadrez;R$ 155,00;R$ 155,00
66210;1;Casaco Linho;R$ 299,00;R$ 299,00
66210;1;Casaco Estampa;R$ 256,00;R$ 256,00
66211;2;Sunga Linho;R$ 149,00;R$ 298,00
66211;2;Calça Estampa;R$ 177,00;R$ 354,00
66212;1;Sapato Linho;R$ 391,00;R$ 391,00
66213;2;Sapato Linho;R$ 391,00;R$ 782,00
66214;1;Cueca Linho;R$ 93,00;R$ 93,00
66214;1;Cinto Estampa;R$ 209,00;R$ 209,00
66215;4;Chinelo Xadrez;R$ 66,00;R$ 264,00
66216;5;Cueca;R$ 50,00;R$ 250,00
66217;1;Polo Estampa;R$ 138,00;R$ 138,00
66218;1;Casaco Xadrez;R$ 259,00;R$ 259,00
66219;1;Calça Linho;R$ 211,00;R$ 211,00
66219;4;Camisa Estampa;R$ 113,00;R$ 452,00
66224;1;Casaco Xadrez;R$ 259,00;R$ 259,00
66224;4;Short Liso;R$ 108,00;R$ 432,00
66227;3;Sapato Liso;R$ 368,00;R$ 1.104,00
66228;5;Cueca Liso;R$ 69,00;R$ 345,00
66228;4;Camisa Liso;R$ 105,00;R$ 420,00
66228;4;Tênis Xadrez;R$ 259,00;R$ 1.036,00
66229;4;Gorro;R$ 80,00;R$ 320,00
66229;3;Sapato;R$ 350,00;R$ 1.050,00
66230;1;Bermuda Linho;R$ 195,00;R$ 195,00
66231;1;Casaco Listrado;R$ 269,00;R$ 269,00
66232;3;Gorro Listrado;R$ 97,00;R$ 291,00
66233;1;Polo Linho;R$ 176,00;R$ 176,00
66233;2;Sapato Listrado;R$ 363,00;R$ 726,00
66233;1;Pulseira;R$ 70,00;R$ 70,00
66233;1;Gorro Xadrez;R$ 85,00;R$ 85,00
66234;3;Terno;R$ 700,00;R$ 2.100,00
66240;1;Sunga Listrado;R$ 114,00;R$ 114,00
66240;3;Bermuda;R$ 150,00;R$ 450,00
66242;1;Camiseta Estampa;R$ 196,00;R$ 196,00
66242;1;Tênis Linho;R$ 294,00;R$ 294,00
66242;3;Camiseta Liso;R$ 187,00;R$ 561,00
66243;2;Calça;R$ 170,00;R$ 340,00
66245;2;Camisa Gola V;R$ 100,00;R$ 200,00
66245;1;Camisa Gola V Liso;R$ 118,00;R$ 118,00
66246;1;Polo Listrado;R$ 149,00;R$ 149,00
66246;2;Casaco Linho;R$ 299,00;R$ 598,00
66246;1;Bermuda Linho;R$ 195,00;R$ 195,00
66247;2;Casaco;R$ 250,00;R$ 500,00
66248;5;Polo;R$ 130,00;R$ 650,00
66248;4;Terno Liso;R$ 720,00;R$ 2.880,00
66250;1;Sunga Linho;R$ 149,00;R$ 149,00
66251;3;Cinto Linho;R$ 248,00;R$ 744,00
66252;2;Meia Xadrez;R$ 41,00;R$ 82,00
66252;3;Short Estampa;R$ 96,00;R$ 288,00
66253;1;Tênis;R$ 250,00;R$ 250,00
66253;1;Mochila Estampa;R$ 277,00;R$ 277,00
66254;3;Sapato Estampa;R$ 358,00;R$ 1.074,00
66254;2;Camisa Gola V Liso;R$ 118,00;R$ 236,00
66254;2;Mochila Xadrez;R$ 283,00;R$ 566,00
66255;5;Tênis Listrado;R$ 262,00;R$ 1.310,00
66255;4;Camisa Gola V Estampa;R$ 118,00;R$ 472,00
66256;3;Sunga;R$ 100,00;R$ 300,00
66257;2;Sunga Estampa;R$ 120,00;R$ 240,00
66259;2;Tênis Linho;R$ 294,00;R$ 588,00
66262;2;Tênis Liso;R$ 266,00;R$ 532,00
66262;1;Camisa Liso;R$ 105,00;R$ 105,00
66262;1;Calça Listrado;R$ 181,00;R$ 181,00
66264;1;Chinelo Liso;R$ 71,00;R$ 71,00
66264;1;Chinelo Listrado;R$ 73,00;R$ 73,00
66264;1;Pulseira Linho;R$ 114,00;R$ 114,00
66265;5;Camiseta Liso;R$ 187,00;R$ 935,00
66265;2;Tênis;R$ 250,00;R$ 500,00
66266;1;Calça Listrado;R$ 181,00;R$ 181,00
66267;2;Mochila Liso;R$ 276,00;R$ 552,00
66267;1;Mochila Estampa;R$ 277,00;R$ 277,00
66268;1;Meia Xadrez;R$ 41,00;R$ 41,00
66269;3;Relógio Listrado;R$ 218,00;R$ 654,00
66269;2;Pulseira Estampa;R$ 87,00;R$ 174,00
66270;1;Camisa Gola V Xadrez;R$ 107,00;R$ 107,00
66271;2;Bermuda Estampa;R$ 169,00;R$ 338,00
66272;2;Cinto;R$ 200,00;R$ 400,00
66272;1;Gorro;R$ 80,00;R$ 80,00
66273;3;Calça Linho;R$ 211,00;R$ 633,00
66273;2;Sunga Liso;R$ 114,00;R$ 228,00
66274;3;Mochila Xadrez;R$ 283,00;R$ 849,00
66274;3;Cueca Liso;R$ 69,00;R$ 207,00
66276;1;Polo Liso;R$ 137,00;R$ 137,00
66277;3;Camisa Liso;R$ 105,00;R$ 315,00
66278;2;Cinto Xadrez;R$ 215,00;R$ 430,00
66279;1;Terno Xadrez;R$ 709,00;R$ 709,00
66279;2;Cueca Xadrez;R$ 60,00;R$ 120,00
66279;2;Polo Xadrez;R$ 142,00;R$ 284,00
66279;1;Sunga Listrado;R$ 114,00;R$ 114,00
66280;4;Short Estampa;R$ 96,00;R$ 384,00
66280;5;Tênis Xadrez;R$ 259,00;R$ 1.295,00
66280;2;Relógio Liso;R$ 216,00;R$ 432,00
66280;1;Short Estampa;R$ 96,00;R$ 96,00
66281;1;Cinto;R$ 200,00;R$ 200,00
66282;1;Calça Linho;R$ 211,00;R$ 211,00
66283;1;Cinto Liso;R$ 209,00;R$ 209,00
66284;1;Cinto Liso;R$ 209,00;R$ 209,00
66284;2;Short Linho;R$ 133,00;R$ 266,00
66284;2;Gorro Linho;R$ 124,00;R$ 248,00
66285;1;Short;R$ 90,00;R$ 90,00
66286;1;Meia Xadrez;R$ 41,00;R$ 41,00
66287;2;Camiseta Liso;R$ 187,00;R$ 374,00
66287;2;Terno Linho;R$ 750,00;R$ 1.500,00
66289;3;Camisa Gola V Listrado;R$ 116,00;R$ 348,00
66290;1;Cueca Liso;R$ 69,00;R$ 69,00
66291;1;Cueca Liso;R$ 69,00;R$ 69,00
66292;2;Cueca Liso;R$ 69,00;R$ 138,00
66292;2;Meia Listrado;R$ 37,00;R$ 74,00
66293;5;Camiseta Xadrez;R$ 200,00;R$ 1.000,00
66294;1;Camiseta Liso;R$ 187,00;R$ 187,00
66294;4;Mochila Linho;R$ 311,00;R$ 1.244,00
66296;5;Gorro;R$ 80,00;R$ 400,00
66298;3;Relógio Liso;R$ 216,00;R$ 648,00
66298;3;Pulseira;R$ 70,00;R$ 210,00
66298;1;Relógio Xadrez;R$ 214,00;R$ 214,00
66299;3;Short Estampa;R$ 96,00;R$ 288,00
66300;2;Camiseta Linho;R$ 223,00;R$ 446,00
66301;1;Gorro Estampa;R$ 93,00;R$ 93,00
66301;3;Camiseta Linho;R$ 223,00;R$ 669,00
66302;5;Camisa Gola V Listrado;R$ 116,00;R$ 580,00
66302;4;Camisa Gola V Estampa;R$ 118,00;R$ 472,00
66302;1;Chinelo;R$ 60,00;R$ 60,00
66303;1;Tênis Linho;R$ 294,00;R$ 294,00
66303;2;Terno Listrado;R$ 709,00;R$ 1.418,00
66304;5;Tênis Liso;R$ 266,00;R$ 1.330,00
66304;1;Chinelo Xadrez;R$ 66,00;R$ 66,00
66304;1;Camiseta;R$ 180,00;R$ 180,00
66304;1;Gorro;R$ 80,00;R$ 80,00
66305;4;Cueca;R$ 50,00;R$ 200,00
66306;1;Polo Estampa;R$ 138,00;R$ 138,00
66306;3;Camisa Estampa;R$ 113,00;R$ 339,00
66306;1;Chinelo Liso;R$ 71,00;R$ 71,00
66306;2;Camisa Gola V;R$ 100,00;R$ 200,00
66307;1;Sapato Xadrez;R$ 368,00;R$ 368,00
66308;2;Short Estampa;R$ 96,00;R$ 192,00
66310;2;Camisa Listrado;R$ 108,00;R$ 216,00
66310;3;Camisa Gola V Xadrez;R$ 107,00;R$ 321,00
66310;1;Cinto Xadrez;R$ 215,00;R$ 215,00
66313;2;Calça Linho;R$ 211,00;R$ 422,00
66314;5;Polo;R$ 130,00;R$ 650,00
66314;2;Tênis;R$ 250,00;R$ 500,00
66314;1;Sunga Liso;R$ 114,00;R$ 114,00
66315;1;Sunga Estampa;R$ 120,00;R$ 120,00
66316;1;Gorro Liso;R$ 92,00;R$ 92,00
66316;3;Camiseta;R$ 180,00;R$ 540,00
66317;2;Pulseira Estampa;R$ 87,00;R$ 174,00
66317;1;Camisa Gola V Estampa;R$ 118,00;R$ 118,00
66318;3;Sunga Xadrez;R$ 116,00;R$ 348,00
66318;1;Meia Linho;R$ 78,00;R$ 78,00
66318;1;Pulseira Estampa;R$ 87,00;R$ 87,00
66319;2;Chinelo Linho;R$ 105,00;R$ 210,00
66319;2;Camiseta Liso;R$ 187,00;R$ 374,00
66320;1;Bermuda;R$ 150,00;R$ 150,00
66320;2;Polo Estampa;R$ 138,00;R$ 276,00
66321;1;Camisa;R$ 100,00;R$ 100,00
66322;5;Meia Liso;R$ 38,00;R$ 190,00
66324;2;Chinelo Liso;R$ 71,00;R$ 142,00
66325;2;Camisa Gola V Estampa;R$ 118,00;R$ 236,00
66327;1;Casaco Linho;R$ 299,00;R$ 299,00
66327;4;Mochila Liso;R$ 276,00;R$ 1.104,00
66327;1;Cueca Linho;R$ 93,00;R$ 93,00
66328;2;Pulseira Linho;R$ 114,00;R$ 228,00
66329;5;Cinto Linho;R$ 248,00;R$ 1.240,00
66330;1;Terno;R$ 700,00;R$ 700,00
66331;1;Casaco Estampa;R$ 256,00;R$ 256,00
66331;1;Relógio Listrado;R$ 218,00;R$ 218,00
66331;3;Mochila Linho;R$ 311,00;R$ 933,00
66333;2;Short Listrado;R$ 102,00;R$ 204,00
66334;1;Camiseta Estampa;R$ 196,00;R$ 196,00
66334;5;Sapato Linho;R$ 391,00;R$ 1.955,00
66334;2;Camisa Gola V Liso;R$ 118,00;R$ 236,00
66334;4;Casaco Xadrez;R$ 259,00;R$ 1.036,00
66335;2;Camiseta;R$ 180,00;R$ 360,00
66335;2;Polo Linho;R$ 176,00;R$ 352,00
66335;2;Cinto Liso;R$ 209,00;R$ 418,00
66336;3;Camiseta Xadrez;R$ 200,00;R$ 600,00
66336;3;Polo Xadrez;R$ 142,00;R$ 426,00
66337;1;Sunga Estampa;R$ 120,00;R$ 120,00
66338;1;Terno Linho;R$ 750,00;R$ 750,00
66339;1;Terno Estampa;R$ 706,00;R$ 706,00
66339;2;Pulseira Listrado;R$ 79,00;R$ 158,00
66339;2;Meia Estampa;R$ 50,00;R$ 100,00
66339;4;Gorro Estampa;R$ 93,00;R$ 372,00
66342;3;Sunga Estampa;R$ 120,00;R$ 360,00
66343;3;Chinelo Xadrez;R$ 66,00;R$ 198,00
66345;5;Cinto Estampa;R$ 209,00;R$ 1.045,00
66345;4;Camisa Estampa;R$ 113,00;R$ 452,00
66345;1;Cinto Liso;R$ 209,00;R$ 209,00
66346;1;Mochila Estampa;R$ 277,00;R$ 277,00
66347;1;Camisa Liso;R$ 105,00;R$ 105,00
66349;1;Calça Liso;R$ 190,00;R$ 190,00
66349;1;Sunga Liso;R$ 114,00;R$ 114,00
66350;1;Pulseira Listrado;R$ 79,00;R$ 79,00
66352;1;Calça Liso;R$ 190,00;R$ 190,00
66352;1;Camisa Estampa;R$ 113,00;R$ 113,00
66352;1;Cueca Linho;R$ 93,00;R$ 93,00
66352;1;Calça Estampa;R$ 177,00;R$ 177,00
66354;3;Tênis Xadrez;R$ 259,00;R$ 777,00
